customer_id,gender,age,annual_income_k,spending_score,segment_id,segment_name
0001,Male,19,15,39,1,Emergente
0002,Male,21,15,81,1,Emergente
0003,Female,20,16,6,0,Básico
0004,Female,23,16,77,1,Emergente
0005,Female,31,17,40,1,Emergente
0006,Female,22,17,76,1,Emergente
0007,Female,35,18,6,0,Básico
0008,Female,23,18,94,1,Emergente
0009,Male,64,19,3,0,Básico
0010,Female,30,19,72,1,Emergente
0011,Male,67,19,14,0,Básico
0012,Female,35,19,99,1,Emergente
0013,Female,58,20,15,0,Básico
0014,Female,24,20,77,1,Emergente
0015,Male,37,20,13,0,Básico
0016,Male,22,20,79,1,Emergente
0017,Female,35,21,35,0,Básico
0018,Male,20,21,66,1,Emergente
0019,Male,52,23,29,0,Básico
0020,Female,35,23,98,1,Emergente
0021,Male,35,24,35,0,Básico
0022,Male,25,24,73,1,Emergente
0023,Female,46,25,5,0,Básico
0024,Male,31,25,73,1,Emergente
0025,Female,54,28,14,0,Básico
0026,Male,29,28,82,1,Emergente
0027,Female,45,28,32,0,Básico
0028,Male,35,28,61,1,Emergente
0029,Female,40,29,31,0,Básico
0030,Female,23,29,87,1,Emergente
0031,Male,60,30,4,0,Básico
0032,Female,21,30,73,1,Emergente
0033,Male,53,33,4,0,Básico
0034,Male,18,33,92,1,Emergente
0035,Female,49,33,14,0,Básico
0036,Female,21,33,81,1,Emergente
0037,Female,42,34,17,0,Básico
0038,Female,30,34,73,1,Emergente
0039,Female,36,37,26,0,Básico
0040,Female,20,37,75,1,Emergente
0041,Female,65,38,35,4,Estable
0042,Male,24,38,92,1,Emergente
0043,Male,48,39,36,0,Básico
0044,Female,31,39,61,1,Emergente
0045,Female,49,39,28,0,Básico
0046,Female,24,39,65,1,Emergente
0047,Female,50,40,55,4,Estable
0048,Female,27,40,47,1,Emergente
0049,Female,29,40,42,1,Emergente
0050,Female,31,40,42,1,Emergente
0051,Female,49,42,52,4,Estable
0052,Male,33,42,60,1,Emergente
0053,Female,31,43,54,1,Emergente
0054,Male,59,43,60,4,Estable
0055,Female,50,43,45,4,Estable
0056,Male,47,43,41,4,Estable
0057,Female,51,44,50,4,Estable
0058,Male,69,44,46,4,Estable
0059,Female,27,46,51,1,Emergente
0060,Male,53,46,46,4,Estable
0061,Male,70,46,56,4,Estable
0062,Male,19,46,55,1,Emergente
0063,Female,67,47,52,4,Estable
0064,Female,54,47,59,4,Estable
0065,Male,63,48,51,4,Estable
0066,Male,18,48,59,1,Emergente
0067,Female,43,48,50,4,Estable
0068,Female,68,48,48,4,Estable
0069,Male,19,48,59,1,Emergente
0070,Female,32,48,47,1,Emergente
0071,Male,70,49,55,4,Estable
0072,Female,47,49,42,4,Estable
0073,Female,60,50,49,4,Estable
0074,Female,60,50,56,4,Estable
0075,Male,59,54,47,4,Estable
0076,Male,26,54,54,1,Emergente
0077,Female,45,54,53,4,Estable
0078,Male,40,54,48,4,Estable
0079,Female,23,54,52,1,Emergente
0080,Female,49,54,42,4,Estable
0081,Male,57,54,51,4,Estable
0082,Male,38,54,55,1,Emergente
0083,Male,67,54,41,4,Estable
0084,Female,46,54,44,4,Estable
0085,Female,21,54,57,1,Emergente
0086,Male,48,54,46,4,Estable
0087,Female,55,57,58,4,Estable
0088,Female,22,57,55,1,Emergente
0089,Female,34,58,60,1,Emergente
0090,Female,50,58,46,4,Estable
0091,Female,68,59,55,4,Estable
0092,Male,18,59,41,1,Emergente
0093,Male,48,60,49,4,Estable
0094,Female,40,60,40,4,Estable
0095,Female,32,60,42,1,Emergente
0096,Male,24,60,52,1,Emergente
0097,Female,47,60,47,4,Estable
